datetime,wind_speed_10m,wind_direction_10m
2026-02-15 00:00:00,4.8,297
2026-02-15 01:00:00,4.5,299
2026-02-15 02:00:00,4.6,288
2026-02-15 03:00:00,4.4,279
2026-02-15 04:00:00,5.4,270
2026-02-15 05:00:00,4.7,266
2026-02-15 06:00:00,4.4,261
2026-02-15 07:00:00,4.5,256
2026-02-15 08:00:00,4.1,255
2026-02-15 09:00:00,5.1,262
2026-02-15 10:00:00,7.2,267
2026-02-15 11:00:00,6.5,273
2026-02-15 12:00:00,7.8,283
2026-02-15 13:00:00,8.4,290
2026-02-15 14:00:00,9.0,293
2026-02-15 15:00:00,9.2,296
2026-02-15 16:00:00,8.4,301
2026-02-15 17:00:00,5.6,297
2026-02-15 18:00:00,3.1,315
2026-02-15 19:00:00,2.3,309
2026-02-15 20:00:00,1.6,297
2026-02-15 21:00:00,1.6,297
2026-02-15 22:00:00,2.2,351
2026-02-15 23:00:00,3.6,354
2026-02-16 00:00:00,3.0,346
2026-02-16 01:00:00,2.5,352
2026-02-16 02:00:00,1.3,326
2026-02-16 03:00:00,1.8,233
2026-02-16 04:00:00,3.3,229
2026-02-16 05:00:00,4.0,243
2026-02-16 06:00:00,4.4,235
2026-02-16 07:00:00,4.2,239
2026-02-16 08:00:00,2.9,263
2026-02-16 09:00:00,1.1,288
2026-02-16 10:00:00,1.1,270
2026-02-16 11:00:00,0.4,90
2026-02-16 12:00:00,0.8,333
2026-02-16 13:00:00,2.2,360
2026-02-16 14:00:00,4.0,10
2026-02-16 15:00:00,5.2,16
2026-02-16 16:00:00,6.0,25
2026-02-16 17:00:00,6.4,63
2026-02-16 18:00:00,5.2,78
2026-02-16 19:00:00,4.3,90
2026-02-16 20:00:00,3.6,90
2026-02-16 21:00:00,3.1,111
2026-02-16 22:00:00,3.2,117
2026-02-16 23:00:00,1.9,112
2026-02-17 00:00:00,3.3,77
2026-02-17 01:00:00,4.5,61
2026-02-17 02:00:00,4.3,66
2026-02-17 03:00:00,4.0,90
2026-02-17 04:00:00,3.9,112
2026-02-17 05:00:00,4.0,100
2026-02-17 06:00:00,4.5,104
2026-02-17 07:00:00,5.2,115
2026-02-17 08:00:00,6.5,124
2026-02-17 09:00:00,8.2,131
2026-02-17 10:00:00,9.9,136
2026-02-17 11:00:00,7.9,133
2026-02-17 12:00:00,9.4,133
2026-02-17 13:00:00,8.7,135
2026-02-17 14:00:00,7.7,143
2026-02-17 15:00:00,6.4,137
2026-02-17 16:00:00,6.4,128
2026-02-17 17:00:00,7.1,105
2026-02-17 18:00:00,3.8,107
2026-02-17 19:00:00,3.2,117
2026-02-17 20:00:00,3.6,127
2026-02-17 21:00:00,3.6,135
2026-02-17 22:00:00,3.3,139
2026-02-17 23:00:00,2.2,81
2026-02-18 00:00:00,2.7,23
2026-02-18 01:00:00,2.3,18
2026-02-18 02:00:00,2.0,315
2026-02-18 03:00:00,3.8,311
2026-02-18 04:00:00,4.3,294
2026-02-18 05:00:00,5.6,297
2026-02-18 06:00:00,7.9,317
2026-02-18 07:00:00,7.9,309
2026-02-18 08:00:00,9.0,337
2026-02-18 09:00:00,8.0,350
2026-02-18 10:00:00,8.1,13
2026-02-18 11:00:00,4.6,39
2026-02-18 12:00:00,3.7,79
2026-02-18 13:00:00,4.3,95
2026-02-18 14:00:00,5.3,118
2026-02-18 15:00:00,8.3,108
2026-02-18 16:00:00,6.6,135
2026-02-18 17:00:00,6.3,121
2026-02-18 18:00:00,3.4,122
2026-02-18 19:00:00,1.5,166
2026-02-18 20:00:00,1.5,166
2026-02-18 21:00:00,2.3,162
2026-02-18 22:00:00,2.1,149
2026-02-18 23:00:00,2.5,180
